Name, Link, FileType

"VisualBoyAdvance", "https://github.com/visualboyadvance-m/visualboyadvance-m/releases/download/v2.1.6/visualboyadvance-m-Win-x86_64.zip", "zip"

"GIMP", "https://download.gimp.org/gimp/v2.10/windows/gimp-2.10.34-setup-2.exe", "exe"
